Number,NumberInFile,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,ImageNumber,Concentration,Channel
1,1,847,3732.231,489.151,2272,4848,177.488,12.584,177.628,12.134,109.358,160,0,36,28,36.744,29.35,10.303,0.89,39.446,3161200,3776,-0.419,-0.097,100,3161200,1,162,21,30.466,28.0,1.252,0.799,0.985,2673,3e-06,n
2,2,403,2493.499,292.54,1520,3184,374.393,6.649,374.782,6.397,83.599,358,0,34,16,31.769,16.151,4.213,0.725,34.059,1004880,2480,-0.058,-0.469,100,1004880,1,358,2,3.366,16.0,1.967,0.508,0.977,2673,3e-06,n
3,3,138,7880.812,2903.436,2768,13472,449.29,3.819,449.347,3.615,48.929,438,0,20,9,19.416,9.05,173.543,0.724,20.396,1087552,7680,0.167,-1.076,100,1087552,1,438,1,168.69,9.0,2.145,0.466,0.965,2673,3e-06,n
4,4,237,3779.511,468.389,2096,4576,534.116,4.58,533.934,4.571,67.186,519,0,29,11,26.875,11.228,178.124,0.66,29.017,895744,3872,-0.764,0.278,100,895744,1,519,0,178.025,11.0,2.393,0.418,0.983,2673,3e-06,n
5,5,968,3434.38,517.929,1824,4464,657.557,14.174,658.166,14.174,113.798,638,0,38,31,39.16,31.474,169.869,0.939,39.294,3324480,3520,-0.449,-0.279,100,3324480,1,638,9,165.256,31.0,1.244,0.804,0.984,2673,3e-06,n
6,6,673,3637.278,550.441,2128,4896,738.118,9.397,737.881,9.059,102.225,718,0,38,22,38.238,22.409,175.463,0.809,39.051,2447888,3648,-0.041,-0.632,100,2447888,1,718,1,166.675,22.0,1.706,0.586,0.983,2673,3e-06,n
7,7,663,2815.735,453.931,1600,3792,927.797,12.179,928.34,11.993,97.23,912,0,33,27,33.374,25.294,32.481,0.881,36.401,1866832,2832,-0.096,-0.907,100,1866832,1,916,23,37.185,27.0,1.319,0.758,0.972,2673,3e-06,n
8,8,712,3509.64,570.731,1792,4848,1022.628,10.749,1023.024,10.38,101.909,1006,0,35,25,35.916,25.241,8.479,0.862,37.336,2498864,3408,0.111,-0.51,100,2498864,1,1006,14,20.376,25.0,1.423,0.703,0.985,2673,3e-06,n
9,9,959,3865.693,676.289,1920,5408,1114.445,17.68,1114.363,17.677,111.818,1098,0,32,37,38.725,31.531,106.817,0.964,39.56,3707200,3824,-0.079,-0.618,100,3707200,1,1105,0,110.726,31.939,1.228,0.814,0.984,2673,3e-06,n
10,10,867,3559.197,582.578,1888,4800,508.77,19.989,509.206,19.762,106.166,494,1,30,37,37.338,29.565,105.183,0.967,38.328,3085824,3616,-0.446,-0.216,100,3085824,1,504,1,105.124,30.0,1.263,0.792,0.985,2673,3e-06,n
